hour,load,wind_available,solar_available,thermal,wind_used,solar_used,wind_curt,solar_curt,charge,discharge,unserved,energy_start_MWh,energy_MWh,soc,balance_error_MW
0,92,61.32,0,30,46.799999999994668,0,14.520000000005325,0,0,15.200000000005319,0,19.999999999999996,4,0.10000000000000001,-1.4210854715202004e-14
1,87,64.340000000000003,0,30,64.340000000000003,0,0,0,7.3399999999999963,0,0,4,10.972999999999999,0.27432499999999999,7.1054273576010019e-15
2,83,63.359999999999999,0,30,63.359999999999999,0,0,0,10.359999999999994,0,0,10.972999999999999,20.814999999999994,0.52037499999999981,5.3290705182007514e-15
3,81,61.229999999999997,0,30,60.984210526315785,0,0.24578947368421922,0,9.9842105263157919,0,0,20.814999999999994,30.299999999999997,0.75749999999999995,0
4,82,58,0,30,58,0,0,0,6.0000000000000027,0,0,30.299999999999997,36,0.90000000000000002,-2.6645352591003757e-15
5,89,55.299999999999997,0,30,55.300000000000004,0,0,0,0,3.6999999999999926,0,36,32.105263157896111,0.80263157894740278,0
6,103,55.350000000000001,0,30,55.350000000000001,0,0,0,0,17.650000000000009,0,32.105263157896111,13.526315789481552,0.33815789473703883,0
7,122,54.100000000000001,17.25,50.649999999999991,54.100000000000001,17.25,0,0,0,0,0,13.526315789481552,13.526315789481552,0.33815789473703883,-1.4210854715202004e-14
8,139,50.340000000000003,49.479999999999997,30.129999999989352,50.339999999999996,49.480000000000004,0,0,0,9.0500000000106411,0,13.526315789481552,4,0.10000000000000001,0
9,145,46.689999999999998,86.150000000000006,30,46.690000000000005,86.150000000000006,0,0,17.840000000000011,0,0,4,20.948000000000008,0.52370000000000017,-7.1054273576010019e-15
10,141,44.890000000000001,119.16,30,44.890000000000001,72.591329639873663,0,46.568670360126333,6.4813296398736737,0,0,20.948000000000008,27.105263157879996,0.67763157894699988,-2.3980817331903381e-14
11,134,43.740000000000002,141.91,30,43.739999999999995,40.260000000000012,0,101.64999999999998,0,20,0,27.105263157879996,6.0526315789399971,0.15131578947349994,0
12,128,41.520000000000003,150,30,41.520000000000003,76.479999999999976,0,73.520000000000024,20.000000000000004,0,0,6.0526315789399971,25.052631578940002,0.62631578947350008,-3.1974423109204508e-14
13,125,39.090000000000003,141.91,30,39.089999999999996,35.910000000000004,0,106,0,20,0,25.052631578940002,4,0.10000000000000001,0
14,127,39.299999999999997,119.16,30,39.299999999999997,71.384210526315783,0,47.775789473684213,13.684210526315788,0,0,4,17,0.42499999999999999,-7.1054273576010019e-15
15,133,42.07,86.150000000000006,30,36.84999999999998,86.150000000000006,5.2200000000000202,0,20,0,0,17,36,0.90000000000000002,0
16,143,42.859999999999999,49.479999999999997,50.659999999999989,42.859999999999999,49.480000000000004,0,0,0,9.9428676197696773e-15,0,36,35.999999999999993,0.8999999999999998,0
17,154,41.299999999999997,17.25,95.450000000000031,41.299999999999997,17.25,0,0,0,0,0,35.999999999999993,36,0.90000000000000002,2.8421709430404007e-14
18,160,42.140000000000001,0,117.86000000000003,42.140000000000001,0,0,0,0,0,0,36,36,0.90000000000000002,2.8421709430404007e-14
19,162,43.409999999999997,0,118.58999999999999,43.410000000000004,0,0,0,0,1.2428584524712097e-15,0,36,36,0.90000000000000002,0
20,151,46.390000000000001,0,94.20999999998935,46.390000000000001,0,0,0,0,10.400000000010643,0,36,25.052631578939998,0.62631578947349997,-2.8421709430404007e-14
21,132,52.109999999999999,0,59.889999999999993,52.109999999999999,0,0,0,0,20,0,25.052631578939998,4,0.10000000000000001,0
22,112,54.149999999999999,0,57.850000000000009,54.149999999999999,0,0,0,0,0,0,4,4.0000000000000018,0.10000000000000005,0
23,99,54.939999999999998,0,44.060000000000002,54.939999999999998,0,0,0,0,0,0,4.0000000000000018,4,0.10000000000000001,0
